count,aX,aY,aZ,gX,gY,gZ
15,-0.333,-1.714,-1.602,-178.711,-219.299,-204.468
16,-0.333,-2.057,-1.596,-188.843,-233.398,-182.19
17,-0.341,-2.281,-1.376,-184.998,-245.3,-155.823
18,-0.339,-2.514,-1.294,-155.029,-255.798,-127.563
19,-0.335,-2.634,-1.113,-154.907,-263.55,-91.553
20,-0.364,-2.736,-0.978,-138.428,-269.287,-53.04
21,-0.401,-2.75,-0.829,-126.587,-273.315,-11.353
22,-0.446,-2.652,-0.698,-107.849,-276.184,30.518
23,-0.507,-2.463,-0.58,-88.989,-278.87,70.679
24,-0.565,-2.166,-0.473,-74.707,-280.273,106.445
25,-0.609,-1.785,-0.377,-63.965,-281.006,136.475
26,-0.628,-1.427,-0.282,-56.458,-283.325,157.898
27,-0.643,-1.202,-0.211,-53.223,-284.058,169.861
28,-0.677,-1.112,-0.156,-52.917,-283.63,175.354
29,-0.717,-1.104,-0.102,-52.612,-283.752,179.749
30,-0.781,-1.091,-0.038,-48.828,-285.583,186.096
31,-0.818,-1.031,0.063,-40.71,-289.246,194.885
32,-0.851,-0.933,0.219,-32.959,-295.532,204.895
33,-0.874,-0.82,0.431,-29.175,-300.232,213.867
34,-0.845,-0.74,0.659,-28.931,-301.086,220.215
35,-0.835,-0.691,0.916,-32.593,-295.288,225.159
36,-0.824,-0.68,1.151,-32.349,-282.349,230.225
37,-0.79,-0.626,1.394,-37.354,-262.207,237.671
38,-0.753,-0.547,1.618,-43.274,-236.023,246.155
39,-0.737,-0.436,1.796,-47.974,-200.562,254.761
40,-0.714,-0.269,1.933,-53.345,-160.889,262.573
41,-0.689,-0.075,2.024,-59.082,-118.347,268.005
42,-0.652,0.094,2.086,-63.538,-72.144,269.409
43,-0.613,0.233,2.109,-60.608,-24.658,267.09
44,-0.619,0.324,2.07,-50.781,25.635,262.817
45,-0.642,0.357,1.984,-37.964,75.684,257.874
46,-0.696,0.361,1.861,-26.733,122.131,253.723
47,-0.771,0.374,1.709,-15.625,166.199,252.014
